the_geom,fb30_indian,fb30_all_other,american_indian_eskimo_1930,american_indian_eskimo_1940,asian_pacific_1930,asian_pacific_1940,black_pop_1930,black_pop_1940,city,city_id,density_1930,density_1940,other_1930,other_1940,source_1930,source_1940,state,white_pop_1930,white_pop_1940,fb30_afr_amer,fb30_chinese,cartodb_id,fb30_japanese,fb30_other_races,fb30_white,fb40_afr_amer,fb40_all_other,fb40_chinese,fb40_indian,fb40_japanese,fb40_other_races,fb40_white,fb30_percent,fb40_percent,fb_40,fb_30,foreign_white_only_1930,foreign_white_only_1940,native_pop_1940,native_pop_1930,total_pop_1930,total_pop_1940,cartodb_georef_status,,
0101000020E6100000B0726891EDC254C0E674594C6C2A4540,85,134,,,,,,,Detroit,71,,,,,,,MI,,,1445,437,58,60,716,403721,1437,74,310,165,38,587,320664,25.9,19.9,322688,405882,,,1300764,1162780,1568662,1623452,TRUE,,
0101000020E6100000C6F99B5088AA56C0C7D79E5912404540,,,,,,,,,Dubuque,41,,,,,,,IA,,,,,30,,,2889,,,,,,,1875,,4.3,1877,,6.9,,42015,,41679,43892,TRUE,,
0101000020E6100000179AEB34D20657C00EF8FC3042644740,2,1,70,51,54,41,416,314,Duluth,80,1629,1622,0,0,1,6,MN,100923,100659,4,30,67,2,35,24936,6,0,19,0,0,19,19332,24.6,19.2,19357,24975,,,81708,76488,101463,101065,TRUE,,
0101000020E610000004E275FD82B953C0179F02603CFF4140,,,2,0,5,0,18717,23347,Durham,92,0,0,0,8,2,7,NC,33313,36840,,,77,,,361,,,,,,,404,0.7,0.7,420,377,,,59775,51650,52087,60195,TRUE,,
0101000020E6100000F08AE07F2B2752C0DC80CF0F23E44440,,,,,,,,,East Hartford,181,,,,,,,CT,,,,,158,,,3260,,,,,,,2739,19,14.7,2739,3260,,,15876,13750,17125,18615,TRUE,,
0101000020E6100000E17F2BD9B13353C02497FF907E0B4540,,,,,,,,,Elmira,196,,,,,,,NY,,,,,173,,,4206,,,,,,,3052,,6.8,3074,,8.9,,42032,,47397,45106,TRUE,,
0101000020E6100000A88C7F9F710554C09BFEEC478A104540,,,,,,,,,Erie,132,,,,,,,PA,,,14,,111,,16,17262,13,2,4,0,0,6,13570,14.9,11.6,13589,17292,,,103366,98675,115967,116955,TRUE,,
0101000020E6100000D3DEE00B93E355C078B988EFC4FC4240,,,2,0,10,0,6514,6862,Evansville,51,11753,10006,0,6,1,6,IN,95723,90194,,,40,,,2087,,,,,,,1179,2.1,1.2,1184,2099,,,95878,82100,102249,97062,TRUE,,
0101000020E61000003ECBF3E0EE8C5EC013B875374FFD4740,,,0,0,0,0,0,0,Everett,273,,,0,0,,,MA,0,0,,,189,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000B9533A58FFEB54C0041C42959A814540,0,0,47,43,62,43,5725,6599,Flint,72,5269,5172,0,0,1,6,MI,150658,144858,64,29,59,6,35,21365,47,0,17,4,3,24,15845,13.7,10.5,15916,21464,,,135627,135028,156492,151543,TRUE,,
0101000020E6100000CE70033E3F4855C0C66D3480B7904440,,,6,1,43,15,2360,2517,Fort Wayne,52,6683,0,0,0,1,7,IN,112537,115877,7,,41,,20,5746,2,0,1,0,0,1,4409,5,3.7,4412,5773,,,113998,109173,114946,118410,TRUE,,
0101000020E6100000FB3A70CE885458C07E18213CDA5C4040,0,1,,,,,,"25,254",Fort Worth,156,,,,63,,,TX,,"152,345",33,22,134,7,30,4870,9,0,15,0,0,15,3540,3,2,3564,4933,,,174098,158514,163447,177662,TRUE,,
0101000020E6100000569A94826EF15DC0791EDC9DB55F4240,,,10,16,1978,1653,838,2002,Fresno,15,0,0,0,0,2,7,CA,49687,57014,,,6,,,9366,,,284,,280,,8328,19.6,14.7,8917,10268,,,51768,42245,52513,60685,TRUE,,
0101000020E61000003B014D840DB357C04CA60A46254D3D40,,,,,,,,15432,Galveston,157,,,,77,,,TX,,45353,,,135,,,5938,,,14,,10,,4511,11.4,7.5,4588,6029,,,56274,46909,52938,60862,TRUE,,
0101000020E610000038328FFCC16A55C0252367614F7B4540,1,0,131,51,30,14,2795,2660,Grand Rapids,73,7330,7143,0,0,1,6,MI,165636,161567,34,12,60,2,15,27300,20,0,4,2,1,7,20347,16.2,12.4,20374,27349,,,143918,141243,168592,164292,TRUE,,
0101000020E610000082C5E1CCAFF253C0D3307C444C094240,,,0,0,2,0,14050,16343,Greensboro,93,0,0,0,8,2,7,NC,39517,42968,,,78,,,472,,,,,,,500,0.9,0.9,513,485,,,58806,53084,53569,59319,TRUE,,
0101000020E6100000F27B9BFEEC2355C04260E5D022B34340,,,0,0,0,0,0,0,Hamilton,118,0,0,0,0,2,7,OH,0,0,,,98,,,2185,,,,,,,1541,4.2,3,1545,2196,,,49047,49980,52176,50592,TRUE,,
0101000020E61000006AFB57569A3853C02575029A08234440,,,,,,,,,Harrisburg,133,,,,,,,PA,,,,,112,,,3711,,,7,,,,3284,4.7,4,3317,3760,,,80576,76579,80339,83893,TRUE,,
0101000020E61000004434BA83D82B52C068D0D03FC1E14440,,,,,,,,7090,Hartford,313,,,,58,,,CT,,"159,119",,,207,,,,,,,,,,,,,"36,605",,,,"122,514",,,"166,267",TRUE,,
0101000020E6100000A228D027F2C451C0DE9387855A634540,,,,,,,,,Haverhill,185,,,,,,,MA,,,,,162,,,10664,,,,,,,8414,,18,8422,,21.9,,38330,,48710,46752,TRUE,,
0101000020E61000008C67D0D03FD757C0DEB06D5166C33D40,2,0,,,,,,86302,Houston,158,,,,253,,,TX,,297959,54,22,136,31,55,17828,56,2,72,1,20,95,15313,6.1,4,15464,17937,,,369050,274415,292352,384514,TRUE,,
0101000020E61000001FF46C567D9C54C08B6CE7FBA9354340,,,,,,,,4498,Huntington,178,,,,,,,WV,,74322,,,155,,,1100,,,,,,,972,1.5,1.2,984,1110,,,77852,74462,75572,78836,TRUE,,
0101000020E61000006EDDCD531D8A55C043739D465AE24340,,,20,5,74,70,43967,51142,Indianapolis,53,6719,7220,0,0,1,6,IN,320100,335755,50,,42,,47,13757,50,3,20,0,0,23,10555,3.8,2.7,10628,13854,,,376344,350307,364161,386972,TRUE,,
0101000020E6100000527E52EDD38B56C02EAD86C43D264040,,,,,,,,,Jackson,89,,,,,,,MS,,,,,74,,,5154,,,4,,,,3372,9.4,6.8,3402,5192,,,46254,49995,55187,49656,TRUE,,
0101000020E6100000527E52EDD38B56C02EAD86C43D264040,,,,,,,,24256,Jackson,74,,,,,,,MI,,37851,,,61,,,400,,,,,,,358,,0.6,359,,0.8,,61748,,48282,62107,TRUE,,
0101000020E6100000D5E76A2BF66954C0A2629CBF09553E40,,,2,3,29,33,48196,61782,Jacksonville,29,4907,5731,0,0,1,6,FL,81322,111247,190,,18,,18,4354,106,3,13,0,1,17,3972,3.5,2.4,4095,4562,,,168970,124987,129549,173065,TRUE,,
0101000020E6100000211FF46C560556C0D717096D39C34440,,,0,0,0,0,0,0,Joliet,48,0,0,0,0,2,7,IL,0,0,,,37,,,7550,,,,,,,5428,,12.8,5435,,17.6,,36930,,42993,42365,TRUE,,
0101000020E6100000BA4E232D956555C045F5D6C056254540,,,0,0,0,0,0,0,Kalamazoo,75,0,0,0,0,2,7,MI,0,0,,,62,,,6467,,,12,,,,4808,11.8,8.9,4824,6492,,,49273,48294,54786,54097,TRUE,,
0101000020E6100000587380608EF455C0DE54A4C2D84A4540,,,0,0,0,0,0,0,Kenosha,173,0,0,0,0,2,7,WI,0,0,,,150,,,12293,,,,,,,9719,24.5,19.9,9725,12299,,,39040,37963,50262,48765,TRUE,,
0101000020E61000009E077767EDFA54C05E9D6340F6FA4140,,,0,2,4,10,17093,16094,Knoxville,148,4008,4393,0,0,1,6,TN,88705,95747,8,,127,,3,824,5,0,5,1,0,6,732,0.8,0.7,743,835,,,110837,104967,105802,111580,TRUE,,
0101000020E610000086032159C0885DC061A6ED5F59594140,,,,,,,,,Lancaster,135,,,,,,,PA,,,,,114,,,2783,,,,,,,2226,4.7,3.6,2235,2791,,,59110,57158,59949,61345,TRUE,,
0101000020E61000009A7CB3CD8D2355C060AB048BC35D4540,,,,,,,,1638,Lansing,76,,,,28,,,MI,,77087,,,63,,,6632,,,3,,,,5184,8.5,6.6,5220,6685,,,73538,71712,78397,78758,TRUE,,
0101000020E61000004A29E8F6921E55C0EDF0D7648DFE4240,,,0,0,0,0,0,0,Lexington,274,,,0,0,,,MA,0,0,,,190,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000004A29E8F6921E55C0EDF0D7648DFE4240,,,0,0,5,0,12759,12925,Lexington,61,0,0,0,7,2,7,KY,32972,36372,,,50,,,612,,,,,,,510,,1,515,,1.3,,48789,,45736,49304,TRUE,,
0101000020E6100000B8239C16BC0655C089D2DEE00B5F4440,,,0,0,0,0,0,0,Lima,119,0,0,0,0,0,0,OH,0,0,,,99,,,1463,,,,,,,1091,,2.5,1100,,3.5,,43611,,42287,44711,TRUE,,
0101000020E6100000AD6EF59CF47E5DC009F9A067B3424140,,,,,,,,22103,LittleRock,13,,,,22,,,AR,,65914,,,4,,,1378,,,,,,,964,1.7,1.1,976,1390,,,87063,80289,81679,88039,TRUE,,
0101000020E6100000617138F3AB8B54C0C47C7901F6B94440,,,0,0,0,0,0,0,Lorain,120,0,0,0,0,2,7,OH,0,0,,,100,,,12530,,,5,,,,9410,,21.3,9423,,28.1,,34702,,44518,44125,TRUE,,
0101000020E61000001DACFF73988F5DC05FEFFE78AF064140,22,261,,,,,,,Los Angeles,16,,,,,,,CA,,,525,1588,7,11865,13736,232874,480,294,2196,93,8726,11309,215248,20,15.1,227037,247135,,,1277240,990913,1238048,1504277,TRUE,,
0101000020E61000005890662C9A7055C0E3AAB2EF8A204340,,,2,6,31,46,47354,47158,Louisville,62,8548,8419,0,0,1,6,KY,260358,271867,25,,51,,16,8990,27,1,16,0,0,17,6201,2.9,2,6245,9031,,,312832,298714,307745,319077,TRUE,,
0101000020E6100000C976BE9F1AC953C0295C8FC2F5B44240,,,0,0,0,0,0,0,Lynchburg,164,0,0,0,0,2,7,VA,0,354101,,,142,,,264,,,,,,,347,,0.6,267,,0.6,,44274,,40661,44541,TRUE,,
0101000020E6100000637FD93D79E854C08109DCBA9B6B4040,,,4,0,3,0,23158,25604,Macon,36,0,0,0,8,2,7,GA,30664,32253,,,25,,,455,,,,,,,366,0.9,0.6,370,459,,,57495,53370,53829,57865,TRUE,,
0101000020E6100000240B98C0AD5956C0857CD0B359894540,,,8,12,49,23,348,365,Madison,174,0,0,0,0,2,7,WI,57494,67047,,,151,,,5279,,,4,,,,4528,9.2,6.7,4535,5310,,,62912,52589,57899,67447,TRUE,,
0101000020E61000006A1327F73BC451C0CAC342AD69364540,,,0,0,0,0,0,0,Malden,275,,,0,0,,,MA,0,0,,,191,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000102384471BDD51C0734BAB21717F4540,,,,,,,,,Manchester,188,,,,,,,NH,,,,,165,,,21944,,,22,,1,,17396,28.6,22.4,17422,21966,,,60263,54868,76834,77685,TRUE,,
0101000020E6100000A4703D0AD77D52C0475A2A6F47644440,51,237,189,467,9124,13467,224670,298365,Manhattan,101,0,0,0,0,2,7,NY,1633329,1577625,39833,5018,84,1455,6761,642912,34600,232,6649,165,1052,8098,540197,36.9,30.8,582895,689506,,,1307029,1177806,1867312,1889924,TRUE,,
0101000020E6100000252367614FF753C0F1F44A59862C4440,,,,,,,,,McKeesport,136,,,,,,,PA,,,,,115,,,11282,,,11,,,,8728,20.7,15.8,8743,11302,,,46612,43330,54632,55355,TRUE,,
0101000020E610000019ADA3AA09B85EC0B6BE4868CB294540,,,0,0,0,0,0,0,Medford,276,,,0,0,,,MA,0,0,,,192,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000006A1327F73BC451C0ADC090D5AD3A4540,,,0,0,0,0,0,0,Melrose,277,,,0,0,,,MA,0,0,,,193,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000001E8A027D228356C0ACE28DCC23934140,,,,,,,,"121,498",Memphis,149,,,,38,,,TN,,"171,406",26,,128,,33,5268,25,0,13,1,4,18,4468,2.1,1.5,4511,5327,,,288431,247816,253143,292942,TRUE,,
0101000020E6100000C6A2E9EC640C54C02046088F36C63940,,,0,5,53,118,25116,36857,Miami,30,2573,5682,0,0,1,6,FL,85468,135192,5512,,19,,34,8225,4063,1,22,0,22,45,12517,12.4,9.7,16625,13771,,,155547,96866,110637,172172,TRUE,,
0101000020E6100000DA38622D3E1355C070EB6E9EEA104140,,,0,0,0,0,0,0,Milton,278,,,0,0,,,MA,0,0,,,194,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E61000001BD82AC1E25057C0D3872EA86F7D4640,6,0,158,145,392,480,4176,4646,Minneapolis,81,8382,9152,0,0,1,6,MN,459630,487099,28,130,68,23,159,80936,29,0,167,9,10,186,64149,17.5,13.1,64364,81123,,,428006,383233,464356,492370,TRUE,,
0101000020E6100000F085C954C10256C08BA6B393C1B13E40,,,12,20,48,48,24514,29046,Mobile,11,0,0,0,0,2,7,AL,43628,49606,,,2,,,2003,,,4,,1,,1472,3.1,2,1556,2140,,,77164,66062,68202,78720,TRUE,,
0101000020E6100000FEF15EB5329355C042EC4CA1F32E4040,,,1,2,3,2,29970,34535,Montgomery,12,0,0,0,0,2,7,AL,36105,43547,,,3,,,631,,,,,,,592,1,0.8,596,639,,,77488,65440,66079,78084,TRUE,,
0101000020E6100000E21E4B1FBA5855C0A9D903ADC0184440,,,0,0,0,0,0,0,Muncie,55,0,0,0,0,2,7,IN,0,0,,,44,,,554,,,6,,,,457,,0.9,467,,1.2,,49253,,46548,49720,TRUE,,
0101000020E6100000D2A92B9FE58F55C04BB0389CF99D4540,,,0,0,0,0,0,0,Muskegon,77,0,0,0,0,2,7,MI,0,0,,,64,,,5653,,,,,,,4261,,8.9,4264,,13.7,,43433,,41390,47697,TRUE,,
0101000020E6100000276BD44334B255C0E15D2EE23B154240,,,,,,,,"47,318",Nashville,306,,,,12,,,TN,,"120,072",20,,206,,2,1789,31,0,2,0,1,3,1522,1.2,0.9,1556,1811,,,165846,152055,153866,167402,TRUE,,
0101000020E6100000C6E1CCAFE6CE51C0475A2A6F47244540,,,0,0,0,0,0,0,Needham,279,,,0,0,,,MA,0,0,,,195,,,,,,,,,,,,,,,,,,,,,TRUE,,
0101000020E6100000207BBDFBE33152C0E2E47E87A2D44440,,,,,,,,,New Britain,182,,,,,,,CT,,,,,159,,,20746,,,,,,,17054,30.5,24.9,17079,20786,,,51606,47342,68128,68685,TRUE,,
0101000020E6100000A3586E69351654C0F8FC304278804440,,,0,0,0,0,0,0,New Castle,137,0,0,0,0,2,7,PA,0,0,,,116,,,7372,,,,,,,6119,,12.9,6130,,15.1,,41508,,48674,47638,TRUE,,
